time,open,high,low,close,Volume,Volume MA,pctc,mark,time_since_start,time_since_start_seconds,time_since_last_event,time_since_last_event_seconds
2020-10-30 13:30:00+00:00,514.0,516.71,502.36,502.97,55875.0,32666.75,-0.0339018862125926,3,548 days 00:00:00,789120.0,1 days 18:00:00,2520.0
2020-10-30 14:30:00+00:00,503.5,504.12,496.35,498.0,83340.0,35592.9,-0.009881305048014877,4,548 days 01:00:00,789180.0,0 days 19:00:00,1140.0
2020-10-30 15:30:00+00:00,497.63,502.0,495.5,502.0,32390.0,36427.15,0.008032128514056325,4,548 days 02:00:00,789240.0,0 days 01:00:00,60.0
2020-10-30 16:30:00+00:00,502.0,502.0,493.5,494.75,47105.0,38117.85,-0.014442231075697198,3,548 days 03:00:00,789300.0,0 days 03:00:00,180.0
2020-10-30 17:30:00+00:00,494.53,494.82,492.0,492.65,29785.0,38678.25,-0.004244567963618051,4,548 days 04:00:00,789360.0,0 days 02:00:00,120.0
2020-10-30 18:30:00+00:00,492.55,497.73,492.08,495.68,47450.0,38925.4,0.006150411042322279,4,548 days 05:00:00,789420.0,0 days 01:00:00,60.0
2020-10-30 19:30:00+00:00,495.86,502.09,494.52,502.06,68804.0,39743.9,0.012871207230471304,4,548 days 06:00:00,789480.0,0 days 01:00:00,60.0
2020-11-02 14:30:00+00:00,506.31,511.78,500.23,511.38,54868.0,41092.9,0.018563518304585136,5,551 days 01:00:00,793500.0,4 days 01:00:00,5820.0
2020-11-02 15:30:00+00:00,511.14,513.22,504.32,505.46,19497.0,40461.0,-0.011576518440298833,3,551 days 02:00:00,793560.0,2 days 23:00:00,4260.0
2020-11-02 16:30:00+00:00,504.25,506.76,502.48,503.74,13575.0,39428.45,-0.0034028409765362033,4,551 days 03:00:00,793620.0,2 days 21:00:00,4140.0
2020-11-02 17:30:00+00:00,503.6,503.6,497.33,499.23,15590.0,39196.55,-0.008953031325683813,4,551 days 04:00:00,793680.0,0 days 01:00:00,60.0
2020-11-02 18:30:00+00:00,499.2,500.15,495.89,498.26,13508.0,38618.15,-0.001942992208000427,4,551 days 05:00:00,793740.0,0 days 01:00:00,60.0
2020-11-02 19:30:00+00:00,499.19,502.27,497.8,501.43,28606.0,36087.3,0.006362140248063364,4,551 days 06:00:00,793800.0,0 days 01:00:00,60.0
2020-11-02 20:30:00+00:00,502.2,503.43,499.52,503.37,17411.0,34144.4,0.0038689348463394335,4,551 days 07:00:00,793860.0,0 days 01:00:00,60.0
2020-11-03 14:30:00+00:00,508.385,518.0,504.46,516.84,37883.0,34420.9,0.02675964002622333,5,552 days 01:00:00,794940.0,1 days 00:00:00,1440.0
2020-11-03 15:30:00+00:00,517.28,519.89,515.9,517.14,26083.0,34847.55,0.0005804504295332524,4,552 days 02:00:00,795000.0,0 days 19:00:00,1140.0
2020-11-03 16:30:00+00:00,517.73,519.45,516.12,519.45,16327.0,34869.15,0.00446687550759961,4,552 days 03:00:00,795060.0,0 days 01:00:00,60.0
2020-11-03 17:30:00+00:00,519.13,519.86,518.26,518.26,12109.0,34255.1,-0.0022908845894696883,4,552 days 04:00:00,795120.0,0 days 01:00:00,60.0
